,func_id,fun_loc,fun_cplx,mod_loc,mod_cplx,fun_nChanges,mod_nChanges,fun_nAuth,mod_nAuth,n_input,n_decl,n_coloc_funs,locom,n_sanity_check,n_cast,n_null_ptr,n_ptr_mod,avg_contr_follow,avg_contr_forks,avg_contr_repos,avg_contr_start,avg_contr_watch,is_vuln,filepath,funcname,sec_large_add,large_del,max_com_mod_span,max_com_func_span,min_contrib_com
0,log_callback_help_cmdutils,5,1.0,2250,524.0,2,533,1,74,4,0,80,0,0,0,0,0,166.0,2.017543859649123,57.0,3.7017543859649122,3.7017543859649122,False,cmdutils.c,log_callback_help,0,4,2,23,39
1,init_opts_cmdutils,5,1.0,2250,524.0,11,533,5,74,0,0,80,0,0,0,0,0,66.0,1.1877822762033288,20.2,3.0806927575348637,3.0806927575348637,False,cmdutils.c,init_opts,6,8,8,23,8
2,prepare_app_arguments_cmdutils,56,1.0,2250,524.0,3,533,3,74,4,7,80,7,0,1,0,0,58.0,1.2651072124756335,22.33333333333333,2.8635477582846005,2.8635477582846005,False,cmdutils.c,prepare_app_arguments,2,41,50,70,6
3,opt_find_cmdutils,10,3.0,2250,524.0,8,533,4,74,5,8,80,0,0,0,0,0,61.75,0.5553418803418804,17.75,2.3218559218559216,2.3218559218559216,False,cmdutils.c,opt_find,0,8,1,2,1245
4,init_report_cmdutils,76,12.0,2250,524.0,1,533,0,74,1,16,80,1,2,0,0,0,42.0,0.5052446498715173,13.0,1.565934065934066,1.565934065934066,False,cmdutils.c,init_report,7,36,2,4,485
5,show_buildconf_cmdutils,8,1.0,2250,524.0,1,533,1,74,3,0,80,0,0,0,0,0,7.0,0.3636363636363637,22.0,0.6363636363636364,0.6363636363636364,False,cmdutils.c,show_buildconf,0,6,1,4,25
6,write_option_cmdutils,61,16.0,2250,524.0,21,533,10,74,4,31,80,4,32,8,1,0,80.0,0.6942441578637132,52.7,1.9680864725363365,1.9680864725363365,False,cmdutils.c,write_option,7,9,5,32,336
7,get_codecs_sorted_cmdutils,22,4.0,2250,524.0,4,533,1,74,1,8,80,0,0,0,0,0,126.0,0.4444444444444444,9.0,1.5555555555555556,1.5555555555555556,False,cmdutils.c,get_codecs_sorted,1,20,15,18,485
8,log_callback_report_cmdutils,17,2.0,2250,524.0,2,533,1,74,4,4,80,0,1,0,0,0,126.0,0.4444444444444444,9.0,1.5555555555555556,1.5555555555555556,False,cmdutils.c,log_callback_report,0,13,1,4,485
9,uninit_opts_cmdutils,9,1.0,2250,524.0,18,533,7,74,0,0,80,0,0,0,0,0,29.857142857142854,0.7340048840048841,9.142857142857142,2.628815628815629,2.628815628815629,False,cmdutils.c,uninit_opts,8,9,4,8,8
10,match_group_separator_cmdutils,14,4.0,2250,524.0,2,533,1,74,3,5,80,0,1,0,0,0,21.0,0.07692307692307693,13.0,1.8461538461538465,1.8461538461538465,False,cmdutils.c,match_group_separator,6,12,2,7,1936
11,parse_time_or_die_cmdutils,12,3.0,2250,524.0,7,533,4,74,3,1,80,0,3,0,0,0,129.25,1.1055337663067926,108.25,3.0684920434098064,3.0684920434098064,False,cmdutils.c,parse_time_or_die,2,10,7,48,39
12,exit_program_cmdutils,8,2.0,2250,524.0,1,533,1,74,1,0,80,0,0,0,0,0,148.0,1.09375,192.0,2.1354166666666665,2.1354166666666665,False,cmdutils.c,exit_program,0,7,3,32,695
13,show_pix_fmts_cmdutils,32,7.0,2250,524.0,9,533,3,74,3,7,80,0,0,0,0,0,72.33333333333333,1.8886318360002567,28.0,3.8254932202300633,3.8254932202300633,False,cmdutils.c,show_pix_fmts,8,24,245,377,39
14,parse_option_cmdutils,36,12.0,2250,524.0,2,533,1,74,4,2,80,3,3,0,1,0,21.0,0.07692307692307693,13.0,1.8461538461538465,1.8461538461538465,False,cmdutils.c,parse_option,30,54,7,48,39
15,opt_max_alloc_cmdutils,14,2.0,2250,524.0,5,533,2,74,3,2,80,0,0,0,0,0,80.0,0.5222222222222221,7.0,1.0777777777777775,1.0777777777777775,False,cmdutils.c,opt_max_alloc,0,13,1,2,13122
16,dump_argument_cmdutils,24,17.0,2250,524.0,1,533,0,74,1,1,80,0,0,0,0,0,42.0,0.5052446498715173,13.0,1.565934065934066,1.565934065934066,False,cmdutils.c,dump_argument,0,23,1,4,485
17,parse_optgroup_cmdutils,36,5.0,2250,524.0,2,533,1,74,2,7,80,0,2,0,3,0,21.0,0.07692307692307693,13.0,1.8461538461538465,1.8461538461538465,False,cmdutils.c,parse_optgroup,0,22,1,7,1936
18,is_device_cmdutils,8,3.0,2250,524.0,5,533,1,74,1,0,80,0,1,0,0,0,21.0,0.07692307692307693,13.0,1.8461538461538465,1.8461538461538465,False,cmdutils.c,is_device,0,10,1,4,172
19,finish_group_cmdutils,27,1.0,2250,524.0,7,533,3,74,3,6,80,0,0,0,3,0,57.0,0.32934472934472936,12.333333333333336,1.5339031339031337,1.5339031339031337,False,cmdutils.c,finish_group,2,27,4,8,1168
20,register_exit_cmdutils,5,1.0,2250,524.0,1,533,1,74,1,0,80,0,0,0,0,0,148.0,1.09375,192.0,2.1354166666666665,2.1354166666666665,False,cmdutils.c,register_exit,0,4,3,32,695
21,split_commandline_cmdutils,47,8.0,2250,524.0,3,533,2,74,6,11,80,6,4,0,0,0,73.5,0.26068376068376065,11.0,1.7008547008547008,1.7008547008547008,False,cmdutils.c,split_commandline,6,100,4,8,1168
22,check_stream_specifier_cmdutils,9,2.0,2250,524.0,9,533,3,74,3,6,80,0,0,0,0,0,73.66666666666667,0.8981556455240666,25.0,2.0493027440395863,2.0493027440395863,False,cmdutils.c,check_stream_specifier,23,28,10,23,39
23,fill_rand_int_cmdutils_opencl,8,2.0,278,29.0,1,6,0,5,2,1,6,0,0,0,0,0,42.0,0.5052446498715173,13.0,1.565934065934066,1.565934065934066,False,cmdutils_opencl.c,fill_rand_int,0,7,3,7,6
24,opt_timelimit_cmdutils,14,2.0,2250,524.0,4,533,2,74,3,11,80,0,0,0,0,0,25.5,1.8241758241758244,13.5,3.8873626373626378,3.8873626373626378,False,cmdutils.c,opt_timelimit,1,12,4,31,899
25,init_parse_context_cmdutils,23,3.0,2250,524.0,4,533,3,74,3,3,80,0,2,0,1,0,98.33333333333331,0.5383725071225071,71.33333333333333,1.8457086894586887,1.8457086894586887,False,cmdutils.c,init_parse_context,2,24,3,32,695
26,print_buildconf_cmdutils,28,5.0,2250,524.0,3,533,3,74,2,10,80,4,0,0,0,0,68.0,0.6693602693602694,22.0,2.2639730639730637,2.2639730639730637,False,cmdutils.c,print_buildconf,5,24,1,4,25
28,show_help_options_cmdutils,29,8.0,2250,524.0,10,533,4,74,5,3,80,0,5,0,1,0,85.75,1.527584988111304,23.25,3.258008804061436,3.258008804061436,False,cmdutils.c,show_help_options,16,26,34,70,39
29,show_codecs_cmdutils,58,13.0,2250,524.0,21,533,6,74,3,13,80,4,0,0,1,0,59.5,0.7374376111218216,15.333333333333336,1.4267677741361953,1.4267677741361953,False,cmdutils.c,show_codecs,33,47,136,251,39
30,get_media_type_char_cmdutils,18,6.0,2250,524.0,3,533,2,74,1,0,80,0,0,0,0,0,73.5,0.26068376068376065,11.0,1.7008547008547008,1.7008547008547008,False,cmdutils.c,get_media_type_char,8,10,4,12,485
31,show_sample_fmts_cmdutils,10,2.0,2250,524.0,2,533,1,74,3,2,80,0,0,0,0,0,21.0,0.07692307692307693,13.0,1.8461538461538465,1.8461538461538465,False,cmdutils.c,show_sample_fmts,2,7,4,31,485
32,check_options_cmdutils,9,3.0,2250,524.0,1,533,1,74,1,0,80,0,1,0,1,0,126.0,0.4444444444444444,9.0,1.5555555555555556,1.5555555555555556,False,cmdutils.c,check_options,0,8,1,2,13122
34,show_formats_devices_cmdutils,54,21.0,2250,524.0,9,533,5,74,4,18,80,0,2,0,0,0,62.8,0.5649251333461861,17.4,1.5921213289634344,1.5921213289634344,False,cmdutils.c,show_formats_devices,0,11,1,4,172
35,find_option_cmdutils,13,5.0,2250,524.0,10,533,9,74,2,11,80,0,5,0,0,0,72.55555555555556,1.963152851858992,40.22222222222222,4.746118992281273,4.746118992281273,False,cmdutils.c,find_option,4,8,24,30,16
36,parse_number_or_die_cmdutils,21,8.0,2250,524.0,8,533,5,74,5,7,80,0,11,2,0,0,128.6,0.9733159019343228,88.4,2.7659047458389563,2.7659047458389563,False,cmdutils.c,parse_number_or_die,7,16,7,48,39
37,opt_default_cmdutils,100,27.0,2250,524.0,57,533,11,74,3,38,80,0,23,0,0,0,44.27272727272727,2.505052549789392,13.727272727272727,11.086173475647161,11.086173475647161,False,cmdutils.c,opt_default,24,35,136,251,8
39,print_codecs_cmdutils,46,11.0,2250,524.0,1,533,1,74,1,13,80,0,0,0,1,0,21.0,0.07692307692307693,13.0,1.8461538461538465,1.8461538461538465,False,cmdutils.c,print_codecs,4,30,8,18,336
40,opt_report_cmdutils,5,1.0,2250,524.0,1,533,0,74,1,0,80,0,0,0,0,0,42.0,0.5052446498715173,13.0,1.565934065934066,1.565934065934066,False,cmdutils.c,opt_report,0,31,1,4,485
41,show_protocols_cmdutils,14,3.0,2250,524.0,10,533,3,74,3,4,80,0,0,0,0,0,54.66666666666666,0.17378917378917375,7.666666666666668,1.133903133903134,1.133903133903134,False,cmdutils.c,show_protocols,8,11,4,31,10
43,opt_cpuflags_cmdutils,12,2.0,2250,524.0,3,533,2,74,3,4,80,0,1,0,0,0,137.0,0.7690972222222222,100.5,1.8454861111111112,1.8454861111111112,False,cmdutils.c,opt_cpuflags,12,14,2,3,695
44,parse_loglevel_cmdutils,29,10.0,2250,524.0,9,533,4,74,3,8,80,0,5,0,0,0,52.75,1.173199023199023,10.25,2.482570207570208,2.482570207570208,False,cmdutils.c,parse_loglevel,6,13,5,31,485
45,setup_find_stream_info_opts_cmdutils,20,4.0,2250,524.0,6,533,4,74,2,2,80,0,1,0,1,0,113.0,2.6188548293811453,35.5,6.0655484866011165,6.0655484866011165,False,cmdutils.c,setup_find_stream_info_opts,6,15,3,23,39
46,show_help_codec_cmdutils,35,8.0,2250,524.0,3,533,2,74,2,4,80,0,5,0,0,0,73.5,0.26068376068376065,11.0,1.7008547008547008,1.7008547008547008,False,cmdutils.c,show_help_codec,0,32,4,12,1936
47,parse_options_cmdutils,39,9.0,2250,524.0,32,533,9,74,5,5,80,6,6,0,0,0,81.22222222222223,3.5350873176531072,52.33333333333334,14.138553782961676,14.138553782961676,False,cmdutils.c,parse_options,9,44,248,1830,1
49,show_license_cmdutils,68,1.0,2250,524.0,10,533,3,74,3,0,80,2,0,0,0,0,20.666666666666668,0.22564102564102564,11.666666666666664,0.8546003016591253,0.8546003016591253,False,cmdutils.c,show_license,28,36,70,147,11
50,compare_ocl_device_desc_cmdutils_opencl,7,1.0,278,29.0,3,6,0,5,2,6,6,0,0,2,2,0,42.0,0.5052446498715173,13.0,1.565934065934066,1.565934065934066,False,cmdutils_opencl.c,compare_ocl_device_desc,3,4,8,8,6
51,locate_option_cmdutils,26,12.0,2250,524.0,4,533,3,74,4,6,80,0,2,0,0,1,111.66666666666669,1.0627389788574,87.33333333333331,2.561108299595142,2.561108299595142,False,cmdutils.c,locate_option,2,24,5,23,39
52,add_opt_cmdutils,12,2.0,2250,524.0,1,533,1,74,4,14,80,0,0,0,2,0,21.0,0.07692307692307693,13.0,1.8461538461538465,1.8461538461538465,False,cmdutils.c,add_opt,0,11,1,7,1936
53,show_help_cmdutils,35,10.0,2250,524.0,10,533,4,74,3,2,80,0,0,0,0,1,85.75,1.527584988111304,23.25,3.258008804061436,3.258008804061436,False,cmdutils.c,show_help,6,23,5,31,336
55,print_codecs_for_id_cmdutils,12,3.0,2250,524.0,1,533,1,74,2,3,80,0,0,0,0,0,21.0,0.07692307692307693,13.0,1.8461538461538465,1.8461538461538465,False,cmdutils.c,print_codecs_for_id,0,11,1,7,485
56,print_all_libs_info_cmdutils,13,1.0,2250,524.0,24,533,9,74,2,0,80,0,0,0,0,0,114.88888888888887,0.7559974349564217,44.88888888888889,1.9534476503817464,1.9534476503817464,False,cmdutils.c,print_all_libs_info,8,9,2,10,20
58,show_sinks_sources_parse_arg_cmdutils,27,7.0,2250,524.0,1,533,0,74,3,4,80,0,8,0,0,1,42.0,0.5052446498715173,13.0,1.565934065934066,1.565934065934066,False,cmdutils.c,show_sinks_sources_parse_arg,0,21,1,5,172
60,uninit_parse_context_cmdutils,27,3.0,2250,524.0,8,533,3,74,1,7,80,0,0,0,2,0,57.0,0.32934472934472936,12.333333333333336,1.5339031339031337,1.5339031339031337,False,cmdutils.c,uninit_parse_context,2,24,4,8,1168
64,show_devices_cmdutils,5,1.0,2250,524.0,3,533,2,74,3,0,80,0,0,0,0,0,73.5,0.26068376068376065,11.0,1.7008547008547008,1.7008547008547008,False,cmdutils.c,show_devices,0,4,1,4,172
65,show_layouts_cmdutils,31,8.0,2250,524.0,4,533,3,74,3,6,80,0,0,2,0,0,54.0,0.3481481481481481,5.666666666666668,0.7185185185185184,0.7185185185185184,False,cmdutils.c,show_layouts,0,26,1,2,11
66,show_banner_cmdutils,11,3.0,2250,524.0,29,533,7,74,3,6,80,0,0,0,0,0,55.85714285714285,1.1014771360636022,15.428571428571427,2.010925665812884,2.010925665812884,False,cmdutils.c,show_banner,11,15,8,23,25
69,grow_array_cmdutils,19,4.0,2250,524.0,5,533,4,74,4,6,80,0,4,0,0,0,119.25,0.7122589125056229,96.25,2.531942335807466,2.531942335807466,False,cmdutils.c,grow_array,2,17,7,48,51
70,next_codec_for_id_cmdutils,11,5.0,2250,524.0,1,533,1,74,3,0,80,0,7,0,0,0,21.0,0.07692307692307693,13.0,1.8461538461538465,1.8461538461538465,False,cmdutils.c,next_codec_for_id,0,10,1,7,1936
71,show_encoders_cmdutils,6,1.0,2250,524.0,5,533,3,74,3,0,80,0,0,0,0,0,104.33333333333331,0.8463037936722148,26.33333333333333,2.3678212625581048,2.3678212625581048,False,cmdutils.c,show_encoders,1,5,4,31,1936
75,opt_opencl_bench_cmdutils_opencl,57,8.0,278,29.0,3,6,2,5,3,16,6,0,0,0,2,0,65.5,0.2222222222222222,6.0,0.7777777777777778,0.0,False,cmdutils_opencl.c,opt_opencl_bench,2,46,3,7,2
76,filter_codec_opts_cmdutils,62,18.0,2250,524.0,9,533,4,74,5,22,80,3,7,0,0,0,113.0,2.6188548293811453,35.5,6.0655484866011165,6.0655484866011165,False,cmdutils.c,filter_codec_opts,25,25,247,475,39
77,print_program_info_cmdutils,15,3.0,2250,524.0,26,533,6,74,2,4,80,0,1,0,0,0,63.66666666666666,1.1183899920742026,17.833333333333332,2.346079943448365,2.346079943448365,False,cmdutils.c,print_program_info,1,12,2,3,196
78,show_help_muxer_cmdutils,33,11.0,2250,524.0,2,533,1,74,1,7,80,0,0,0,0,0,21.0,0.07692307692307693,13.0,1.8461538461538465,1.8461538461538465,False,cmdutils.c,show_help_muxer,0,32,1,3,1936
81,run_opencl_bench_cmdutils_opencl,96,13.0,278,29.0,2,6,0,5,1,35,6,0,0,3,1,0,42.0,0.5052446498715173,13.0,1.565934065934066,1.565934065934066,False,cmdutils_opencl.c,run_opencl_bench,0,81,3,7,6
82,print_error_cmdutils,10,2.0,2250,524.0,19,533,5,74,2,4,80,0,1,0,0,0,49.0,0.47587374581939795,54.6,1.2007130795461998,1.2007130795461998,False,cmdutils.c,print_error,8,21,248,1830,112
83,opt_loglevel_cmdutils,53,9.0,2250,524.0,12,533,6,74,3,4,80,0,3,0,0,0,88.0,0.5051912864980016,69.16666666666667,1.6879615572049782,1.7224443158256684,False,cmdutils.c,opt_loglevel,8,34,7,48,2
85,print_device_sources_cmdutils,35,8.0,2250,524.0,2,533,0,74,2,5,80,0,6,0,1,0,42.0,0.5052446498715173,13.0,1.565934065934066,1.565934065934066,False,cmdutils.c,print_device_sources,1,41,1,5,172
92,show_filters_cmdutils,53,16.0,2250,524.0,22,533,8,74,3,8,80,0,0,0,0,4,38.75,0.4151709401709402,11.25,1.2914835164835163,1.2914835164835163,False,cmdutils.c,show_filters,7,8,4,31,10
93,print_codec_cmdutils,87,24.0,2250,524.0,11,533,4,74,1,8,80,0,17,0,1,0,54.75,3.3979788951678014,19.75,19.100219121208625,19.4216476926372,False,cmdutils.c,print_codec,29,45,245,377,336
95,show_version_cmdutils,9,1.0,2250,524.0,20,533,4,74,3,0,80,0,0,0,0,0,46.5,0.28034188034188035,9.0,1.1115384615384616,1.1115384615384616,False,cmdutils.c,show_version,4,8,8,31,9
101,read_yesno_cmdutils,11,3.0,2250,524.0,3,533,1,74,0,7,80,0,0,0,0,0,17.0,3.4,20.0,7.8,7.8,False,cmdutils.c,read_yesno,2,10,23,35,1003
102,compare_codec_desc_cmdutils,13,2.0,2250,524.0,2,533,0,74,2,0,80,0,0,0,2,0,42.0,0.5052446498715173,13.0,1.565934065934066,1.565934065934066,False,cmdutils.c,compare_codec_desc,0,6,8,8,179
105,show_bsfs_cmdutils,11,2.0,2250,524.0,6,533,3,74,3,3,80,0,0,0,0,0,104.33333333333331,0.8463037936722148,26.33333333333333,2.3678212625581048,2.3678212625581048,False,cmdutils.c,show_bsfs,2,4,4,31,39
107,show_formats_cmdutils,5,1.0,2250,524.0,9,533,5,74,3,0,80,0,0,0,0,0,62.8,0.1614163614163614,17.4,1.5921213289634344,1.5921213289634344,False,cmdutils.c,show_formats,33,122,50,70,1
110,show_sources_cmdutils,38,11.0,2250,524.0,2,533,0,74,3,14,80,1,1,0,0,0,42.0,0.5052446498715173,13.0,1.565934065934066,1.565934065934066,False,cmdutils.c,show_sources,0,37,1,5,172
111,show_colors_cmdutils,14,2.0,2250,524.0,2,533,1,74,3,3,80,0,0,0,0,0,5.0,0.0,9.0,0.4444444444444444,0.4444444444444444,False,cmdutils.c,show_colors,0,9,1,2,1867
120,show_decoders_cmdutils,6,1.0,2250,524.0,5,533,3,74,3,0,80,0,0,0,0,0,104.33333333333331,0.8463037936722148,26.33333333333333,2.3678212625581048,2.3678212625581048,False,cmdutils.c,show_decoders,1,5,4,31,1936
123,show_help_filter_cmdutils,60,13.0,2250,524.0,11,533,3,74,1,6,80,0,1,0,0,0,72.66666666666667,0.5737891737891737,19.0,2.6672364672364672,2.6672364672364672,False,cmdutils.c,show_help_filter,19,35,4,17,776
128,show_help_demuxer_cmdutils,18,4.0,2250,524.0,1,533,1,74,1,4,80,0,0,0,0,0,21.0,0.07692307692307693,13.0,1.8461538461538465,1.8461538461538465,False,cmdutils.c,show_help_demuxer,0,15,1,3,1936
130,print_device_sinks_cmdutils,35,8.0,2250,524.0,2,533,0,74,2,5,80,0,6,0,1,0,42.0,0.5052446498715173,13.0,1.565934065934066,1.565934065934066,False,cmdutils.c,print_device_sinks,0,40,1,5,172
138,get_rotation_cmdutils,29,8.0,2250,524.0,4,533,2,74,1,15,80,1,0,1,1,0,70.0,0.2222222222222222,6.5,0.7777777777777778,0.7777777777777778,False,cmdutils.c,get_rotation,19,21,2,2,196
141,get_preset_file_cmdutils,53,13.0,2250,524.0,11,533,4,74,5,7,80,0,3,0,0,0,82.0,0.8222278452541609,20.75,3.1508659469185787,3.1508659469185787,False,cmdutils.c,get_preset_file,17,28,4,90,5
145,show_sinks_cmdutils,36,10.0,2250,524.0,1,533,0,74,3,14,80,0,1,0,0,0,42.0,0.5052446498715173,13.0,1.565934065934066,1.565934065934066,False,cmdutils.c,show_sinks,0,35,1,5,172
147,opt_opencl_cmdutils_opencl,19,5.0,278,29.0,3,6,2,5,3,7,6,0,0,0,0,0,65.5,0.2222222222222222,6.0,0.7777777777777778,0.7777777777777778,False,cmdutils_opencl.c,opt_opencl,0,17,3,7,6
151,video_encode_example_doc%examples%decoding_encoding,176,18.0,665,85.0,3,9,3,5,2,14,10,48,1,0,0,0,93.33333333333331,4.610960144927536,74.66666666666667,25.642562399355878,25.642562399355878,False,doc/examples/decoding_encoding.c,video_encode_example,9,14,1,4,776
152,getopt_compat%getopt,45,13.0,84,13.0,4,10,3,5,3,4,1,0,6,0,0,0,47.0,0.39814814814814814,4.666666666666667,2.351851851851852,2.351851851851852,False,compat/getopt.c,getopt,2,43,50,70,16
156,open_codec_context_doc%examples%demuxing_decoding,45,5.0,383,50.0,5,12,1,9,3,12,4,6,0,0,2,0,71.0,1.2,35.0,4.6,4.6,False,doc/examples/demuxing_decoding.c,open_codec_context,1,4,1,3,1
160,main_compat%plan9%main,15,1.0,34,1.0,1,2,1,2,2,1,1,3,0,0,0,0,30.0,3.571428571428572,14.0,5.928571428571429,5.928571428571429,False,compat/plan9/main.c,main,0,13,1,1,899
163,open_input_file_doc%examples%filtering_audio,40,5.0,295,39.0,2,35,2,9,1,2,4,6,1,0,1,0,98.5,0.8222222222222222,22.0,3.0777777777777766,3.0777777777777766,False,doc/examples/filtering_audio.c,open_input_file,0,32,1,4,776
165,alloc_audio_frame_doc%examples%muxing,27,4.0,651,86.0,1,96,1,10,4,4,15,0,1,0,0,0,21.0,0.07692307692307693,13.0,1.8461538461538465,1.8461538461538465,False,doc/examples/muxing.c,alloc_audio_frame,0,27,1,2,1936
167,decode_write_frame_doc%examples%decoding_encoding,32,5.0,665,85.0,2,9,2,5,6,3,10,3,2,0,1,0,65.5,0.2222222222222222,9.0,1.0,1.0,False,doc/examples/decoding_encoding.c,decode_write_frame,0,27,1,2,1867
169,init_filter_graph_doc%examples%filter_audio,188,18.0,365,41.0,1,4,1,3,3,15,4,43,0,0,0,0,21.0,0.07692307692307693,13.0,1.8461538461538465,1.8461538461538465,False,doc/examples/filter_audio.c,init_filter_graph,0,150,1,4,1936
171,decode_packet_doc%examples%demuxing_decoding,110,14.0,383,50.0,6,12,1,9,2,13,4,38,11,1,2,0,71.0,1.2,35.0,4.6,4.6,False,doc/examples/demuxing_decoding.c,decode_packet,15,16,1,3,196
173,read_packet_doc%examples%avio_reading,17,1.0,134,11.0,1,4,1,2,3,3,3,3,0,1,1,0,5.0,0.0,9.0,0.4444444444444444,0.4444444444444444,False,doc/examples/avio_reading.c,read_packet,0,14,1,2,1867
175,add_samples_to_fifo_doc%examples%transcode_aac,27,3.0,770,88.0,1,22,1,8,3,1,18,5,7,1,0,0,6.0,0.0,1.0,6.0,6.0,False,doc/examples/transcode_aac.c,add_samples_to_fifo,0,23,1,18,4
176,display_frame_doc%examples%filtering_video,37,7.0,280,39.0,3,27,2,9,2,5,4,7,1,0,1,1,38.0,0.6,22.0,2.5222222222222217,2.5222222222222217,False,doc/examples/filtering_video.c,display_frame,1,8,2,3,1867
178,init_filters_doc%examples%filtering_audio,130,12.0,295,39.0,13,35,5,9,1,30,4,27,1,2,4,0,44.6,0.5628511530398322,22.2,2.0845283018867926,2.0845283018867926,False,doc/examples/filtering_audio.c,init_filters,25,69,20,30,9
180,pgm_save_doc%examples%decoding_encoding,13,2.0,665,85.0,1,9,1,5,5,2,10,0,0,0,0,0,5.0,0.0,9.0,0.4444444444444444,0.4444444444444444,False,doc/examples/decoding_encoding.c,pgm_save,0,4,1,4,1867
181,get_audio_frame_doc%examples%muxing,31,4.0,651,86.0,13,96,3,10,1,11,15,3,0,2,2,1,50.66666666666666,0.17378917378917375,10.333333333333334,1.2820512820512822,1.2820512820512822,False,doc/examples/muxing.c,get_audio_frame,1,6,1,7,1867
183,CtrlHandler_ffmpeg,34,7.0,4324,1041.0,1,2234,1,170,1,0,74,7,0,0,0,0,223.0,3.5608695652173914,230.0,12.769565217391305,12.769565217391305,False,ffmpeg.c,CtrlHandler,0,29,1,3,37
184,write_frame_doc%examples%muxing,17,1.0,651,86.0,8,96,3,10,4,0,15,7,0,0,2,0,50.66666666666666,0.17378917378917375,10.333333333333334,1.2820512820512822,1.2820512820512822,False,doc/examples/muxing.c,write_frame,0,12,1,4,1867
185,log_packet_doc%examples%muxing,13,1.0,651,86.0,1,96,1,10,2,7,15,0,0,0,2,0,5.0,0.0,9.0,0.4444444444444444,0.4444444444444444,False,doc/examples/muxing.c,log_packet,0,10,1,4,1867
188,open_audio_doc%examples%muxing,73,5.0,651,86.0,27,96,0,10,4,6,15,18,3,0,2,0,42.0,0.5052446498715173,13.0,1.565934065934066,1.565934065934066,False,doc/examples/muxing.c,open_audio,13,43,1,6,3
189,frame_alloc_doc%examples%qsvdec,60,13.0,487,71.0,1,4,1,2,3,5,12,0,6,0,3,0,21.0,0.07692307692307693,13.0,1.8461538461538465,1.8461538461538465,False,doc/examples/qsvdec.c,frame_alloc,0,53,1,10,1936
190,print_final_stats_ffmpeg,142,20.0,4324,1041.0,13,2234,3,170,1,60,74,3,2,0,7,0,63.0,0.26574319677767955,17.0,1.2028686511445132,0.6843501326259948,False,ffmpeg.c,print_final_stats,1,10,1,2,13122
193,open_output_file_doc%examples%transcode_aac,100,9.0,770,88.0,5,22,2,8,4,10,18,18,7,0,3,0,24.0,0.13793103448275862,15.0,3.103448275862069,3.103448275862069,False,doc/examples/transcode_aac.c,open_output_file,4,85,103,180,4
196,free_buffer_doc%examples%qsvdec,7,1.0,487,71.0,1,4,1,2,2,3,12,0,0,0,0,0,21.0,0.07692307692307693,13.0,1.8461538461538465,1.8461538461538465,False,doc/examples/qsvdec.c,free_buffer,0,6,1,10,1936
199,read_decode_convert_and_store_doc%examples%transcode_aac,66,10.0,770,88.0,2,22,2,8,6,10,18,16,10,1,0,0,66.0,0.2222222222222222,5.0,3.7777777777777777,3.7777777777777777,False,doc/examples/transcode_aac.c,read_decode_convert_and_store,2,62,1,18,4
200,send_filter_eof_ffmpeg,12,3.0,4324,1041.0,17,2234,4,170,1,2,74,0,0,0,1,0,73.75,2.3644688644688645,21.5,5.1401098901098905,5.1401098901098905,False,ffmpeg.c,send_filter_eof,0,0,1,2,196
201,fill_yuv_image_doc%examples%muxing,35,6.0,651,86.0,6,96,3,10,4,4,15,10,0,0,1,0,50.66666666666666,0.17378917378917375,10.333333333333334,1.2820512820512822,1.2820512820512822,False,doc/examples/muxing.c,fill_yuv_image,1,4,1,7,1867
202,encode_write_frame_doc%examples%transcoding,46,5.0,582,99.0,2,11,2,7,3,3,9,9,2,0,2,0,10.5,0.3461538461538461,24.0,1.0427350427350426,1.0427350427350426,False,doc/examples/transcoding.c,encode_write_frame,0,43,1,8,52
203,video_decode_example_doc%examples%decoding_encoding,116,11.0,665,85.0,7,9,2,5,2,11,10,41,1,0,0,0,23.5,0.13793103448275862,19.0,0.3256704980842912,0.3256704980842912,False,doc/examples/decoding_encoding.c,video_decode_example,6,19,1,4,776
204,process_output_doc%examples%filter_audio,28,5.0,365,41.0,1,4,1,3,2,29,4,0,0,0,1,0,21.0,0.07692307692307693,13.0,1.8461538461538465,1.8461538461538465,False,doc/examples/filter_audio.c,process_output,0,24,1,4,1936
205,avpriv_vsnprintf_compat%msvcrt%snprintf,28,4.0,71,5.0,2,5,1,3,4,2,2,8,3,0,0,0,15.0,0.75,4.0,5.5,5.5,False,compat/msvcrt/snprintf.c,avpriv_vsnprintf,6,23,2,4,986
206,sub2video_get_blank_frame_ffmpeg,17,4.0,4324,1041.0,4,2234,1,170,1,6,74,0,0,0,3,0,126.0,0.4444444444444444,9.0,1.5555555555555556,1.5555555555555556,False,ffmpeg.c,sub2video_get_blank_frame,0,13,2,6,485
207,avpriv_strtod_compat%strtod,54,15.0,93,25.0,2,6,2,4,2,2,2,7,72,0,0,0,43.0,0.975,19.5,5.05,5.05,False,compat/strtod.c,avpriv_strtod,49,49,20,29,776
208,avpriv_snprintf_compat%msvcrt%snprintf,12,1.0,71,5.0,1,5,1,3,3,2,2,0,0,0,0,0,15.0,0.0,4.0,5.5,5.5,False,compat/msvcrt/snprintf.c,avpriv_snprintf,0,11,2,4,986
